;;;;;;;;Seguro actual;0,450%;;Pagadurías;;capital;$ 18227883,462,70;;;;;;;;;;;;;;;
;;;;;;;;Tasas vigentes;1,78%;Oro;Alfa;;factor;0,0356596530;;;;;;;;;;;;;;;
;;;;;;;;;1,63%;Platino;Fondos privados;;;;;;;;;;;;;;;;;;
;;;;;;;;;1,52%;Zafiro;Fopep - Fiduprevisora;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;Colpensiones;;;;;;;;;;;;;;;;;;
;Fecha de nacimiento;2/12/1985;;;;;;Edad máxima;90;;Pensionados Mindefensa;;;;;;;;;;;;;;;;;;
;Edad;39;;;;;;Hoy;27/10/2025;;Cagen y Casur;;;;;;;;;;;;;;;;;;
;Capital;$ 18,227,884;;;;;;Inicio del crédito;30/11/2025;;Cremil;;;;;;;;;;;;;;;;;;
;cuota aproximada; 650,000,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Plazo ;48;;;;;;Fecha fin;30/10/2029;;Ejército - Policía;;;;;;;;;;;;;;;;;;
;Valor cuota ;$ 650,000;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor total ;$ 31,200,000;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Edad fin;43;;;;;;;;;;;;;;;;;;;;;;;;;;;
;* Debe terminar de pagar antes de cumplir los 90 años;;;;;;;Gastos;;;Forma de desembolso;;;;;;;;;;;;;;;;;;
;Refinanciacion/compra;$ 0;;;;;;Capital;$ 18,227,884;;Pago por Ventanilla;;;;;;;;;;;;;;;;;;
;Valor Aval refinanciación;$ 0;;;;;;Aval;$ 2,190,247;;Transferencia a cuenta;;;;;;;;;;;;;;;;;;
;Valor Aval nuevo;$ 2,190,247;12,0%;TASA;1,780%;Oro;;Estudio;$ 361,657;;;;;;;;;;;;;;;;;;;;
;Estudio de crédito;$ 361,657;2,0%;EA;23,58%;;;Comisión bancaria ;$ 13,645;;;;;;;;;;;;;;;;;;;;
;Gastos bancarios;$ 76,294;;;;;;Total gastos bancarios;$ 76,294;;;;;;;;;;;;;;;;;;;;
;;;;Forma desembolso;Pago por Ventanilla;;;;;;;;;;;;;;20000000; 833,191,00 ;;;;;;;;;
;Desembolso;$ 15,599,686;;;;;;;;;;;;;;12;20000000; 833,191,00 ; 48,00 ;;;;;;;;;;
;;;;;;;;;;;;;;;;24;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;36;20000000; 989,800,00 ;;;;;;;;;;;
;Pagaduría;Pensionados Mindefensa;;;;;;;;;;;;;;48;20000000; 833,191,00 ;;;;20000000; 833,191,00 ;;;;;;
;;;;;;;;;;;;;;;;60;20000000; 742,000,00 ;;;; 12,000,000,00 ; 499,914,60 ;;;;;;
;Capacidad;-$ 500,000;;;;;;;;;;;;;;72;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;84;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;96;20000000;;;;;;;;;;;;
;SMLV 2025;$ 1,423,500;;;;;;;;;;;;;;108;20000000;;;;;;;;;;;;
;Vr Pensión / Total devengado;$ 1,423,500;;;;;;;;;;;;;;120;20000000;;;;;;;;;;;;
;Salud (pensionados);$ 56,000;;;;;;;;;;;;;;132;20000000;;;;;;;;;;;;
;alfa 2%; $ 28,470 ;oc;;;;;;;;;;;;;144;20000000;;;;;;;;;;;;
;8% salud; $ 113,880 ;oc;;;;;;;;;;;;;156;20000000;;;;;;;;;;;;
;Casur y Cagen - 1% y 4%; $ 71,175 ;oc;;;;;;;;;;;;;168;20000000;;;;;;;;;;;;
;50%; $ 683,750 ;oc;;;;;;;;;;;;;180;20000000;;;;;;;;;;;;
;50% Pensionado Mind; ;oc;;;;;;;;;;;;;192;20000000;;;;;;;;;;;;
;Subtotal Pensionado Mind; $ - ;oc;;;;;;;;;;;;;204;20000000;;;;;;;;;;;;
;Total deducido (Pens y activos);$ 500,000;;Topes por edad;;;;;;;;;;;;216;20000000;;;;;;;;;;;;
;Partidas activos (no se tienen en cuenta);;;De 18-70 años;100 SMLV;$ 142,350,000;;;;;;;;;;228;20000000;;;;;;;;;;;;
;Prima orden público; $ 123 ;;De 71-80 años;50 SMLV;$ 71,175,000;;;;;;;;;;240;20000000;;;;;;;;;;;;
;Partidas alimentación (adic-devo); $ 123 ;;De 81-85 años;10 SMLV;$ 14,235,000;;;;;;;;;;252;20000000;;;;;;;;;;;;
;Adicionales o bonificaciones; $ 123 ;;De 86-90 años;3 SMLV;$ 4,270,500;;;;;;;;;;264;20000000;;;;;;;;;;;;
;Descuentos de Ley (activos);;;;;;;;;;;;;;;276;20000000;;;;;;;;;;;;
;Aporte salud; $ 123 ;;;;;;;;;;;;;;288;20000000;;;;;;;;;;;;
;Aporte pensión ; $ 123 ;;;;;;;;;;;;;;300;20000000;;;;;;;;;;;;
;Caprovinco (Caja de vivienda); $ 1,223 ;;;;;;;;;;;;;;312;20000000;;;;;;;;;;;;
;50% (salario menos dtos ley); $ 711,504 ;oc;;;;;;;;;;;;;324;20000000;;;;;;;;;;;;
;Vacaciones ; $ 123 ;;;;;;;;;;;;;;336;20000000;;;;;;;;;;;;
;Colpe - Base; $ 234,750 ;oc;;;;;;;;;;;;;348;20000000;;;;;;;;;;;;
;Fondos privados ; $ 239,750 ;oc;;;;;;;;;;;;;360;20000000;;;;;;;;;;;;
;Fopep - Fiduprevisora; $ 239,750 ;oc;;;;;;;;;;;;;372;20000000;;;;;;;;;;;;
;Pensionados Mindefensa;-$ 500,000 ;oc;;;;;;;;;;;;;384;20000000;;;;;;;;;;;;
;Ejército - Policía; $ 213,096 ;oc;;;;;;;;;;;;;396;20000000;;;;;;;;;;;;
;Cagen y Casur; $ 237,338 ;oc;;;;;;;;;;;;;408;20000000;;;;;;;;;;;;
;Cremil; $ 211,750 ;oc;;;;;;;;;;;;;420;20000000;;;;;;;;;;;;
;Alfa; $ 225,515 ;oc;;;;;;;;;;;;;432;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;444;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;456;20000000;;;;;;;;;;;;
;Topes por edad;;;;;;;;;;;;;;;468;20000000;;;;;;;;;;;;
;De 18-70 años;100 SMLV;$ 142,350,000;;;;;;;;;;;;;480;20000000;;;;;;;;;;;;
;De 71-80 años;50 SMLV;$ 71,175,000;;;;;;;;;;;;;492;20000000;;;;;;;;;;;;
;De 81-85 años;10 SMLV;$ 14,235,000;;;;;;;;;;;;;504;20000000;;;;;;;;;;;;
;De 86-90 años;3 SMLV;$ 4,270,500;;;;;;;;;;;;;516;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;528;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;540;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;552;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;564;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;576;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;588;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;600;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;612;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;624;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;636;20000000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
